kode_provinsi;nama_provinsi;kode_wilayah_kerja_statistik;kode_wilayah_administrasi;nama_kabupaten_kota;kode_wilayah_kerja_statistik_kecamatan;kode_wilayah_administrasi_kecamatan;kecamatan;tahun;jumlah;satuan
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104080;610208;Jongkat;2025;3;Unit
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104081;610215;Segedong;2025;1;Unit
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104090;610207;Sungai Pinyuh;2025;11;Unit
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104091;610216;Anjongan;2025;7;Unit
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104100;610201;Mempawah Hilir;2025;0;Unit
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104101;610218;Mempawah Timur;2025;0;Unit
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104110;610212;Sungai Kunyit;2025;0;Unit
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104120;610206;Toho;2025;8;Unit
61;KALIMANTAN BARAT;6104;6102;KABUPATEN MEMPAWAH;6104121;610217;Sadaniang;2025;0;Unit
